,Australia,Austria,Belgium,Canada,Chile,Finland,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Netherlands,Portugal,Singapore,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
Australia,,1394608989.0,1988180090.0,1700431855.0,273984069.0,743124622.0,3108595943.0,10368403671.0,210950502.0,2973868322.0,989718166.0,4488601238.0,17088153506.0,7890430129.0,2935297625.0,147382332.0,11295485000.0,1748923829.0,1759330730.0,2617447969.0,661145948.0,5527644952.0,26018549254.0
Austria,27036279.0,,4487520410.0,195229670.0,79361361.0,456889575.0,4763489380.0,70999331127.0,326589200.0,459878675.0,493761980.0,11487550978.0,1320485916.0,864802466.0,6483916261.0,588134354.0,249090124.0,2636847970.0,1487206987.0,6391528088.0,1183804526.0,2378252529.0,5724687376.0
Belgium,715265446.0,2498130816.0,,2425560859.0,486426135.0,2180217296.0,40321521892.0,51537299189.0,536675648.0,6184548447.0,21827294385.0,15742248789.0,6817902115.0,2707099368.0,54367272290.0,1558028002.0,4465292971.0,9282706615.0,6274457073.0,5473759921.0,3396353155.0,16473205058.0,34768383035.0
Canada,1417243425.0,1430740952.0,4184877151.0,,996900695.0,768576370.0,3973505056.0,12150303045.0,171661944.0,2901550265.0,1602469399.0,5037413395.0,9326062189.0,5567578712.0,3817235427.0,671972728.0,1126794220.0,2270077854.0,1209621969.0,4471133974.0,985966388.0,6725218883.0,292338433401.0
Chile,241935429.0,233767685.0,606796757.0,656012280.0,,290871129.0,1267978759.0,3252213648.0,20756006.0,875393747.0,95428444.0,1199146374.0,1994620490.0,1214355761.0,681194581.0,127158131.0,107659648.0,1789737565.0,367408541.0,371022256.0,356982172.0,889174283.0,15776197124.0
Finland,65891560.0,775004394.0,2484230331.0,527525865.0,229308993.0,,2109142779.0,12390329898.0,188291037.0,267097723.0,343686340.0,1938165366.0,491361385.0,308176568.0,5056141184.0,378877469.0,91285087.0,1005878458.0,11339340084.0,638940811.0,334914825.0,1664308969.0,1763243723.0
France,1219752623.0,7534324205.0,62673880760.0,2740790994.0,883212572.0,2078813536.0,,119464590970.0,1324787597.0,5434291329.0,6345181629.0,55776883428.0,7323266967.0,3392058041.0,42561928230.0,8706348152.0,4410068228.0,49138802974.0,6358001734.0,19382378567.0,7952299701.0,31344522624.0,38751856499.0
Germany,1661139280.0,53090756595.0,79659320111.0,4577361945.0,831744765.0,11156092745.0,83212117326.0,,2519379890.0,8569824588.0,12514191720.0,65055849804.0,20891820703.0,8685311599.0,120680923036.0,8019691711.0,5844394599.0,34767304643.0,16501012252.0,47900111202.0,16618078995.0,46332394846.0,59797035615.0
Greece,23487153.0,506300821.0,1870399620.0,99711719.0,48742024.0,153644331.0,2633022550.0,6800947241.0,,451996620.0,634300404.0,5082978305.0,420946064.0,1639553477.0,2546373375.0,258228201.0,898943771.0,2774876740.0,367968300.0,757242262.0,2245450488.0,1304381675.0,1443537600.0
India,12368446758.0,1088314569.0,7476833575.0,3652017380.0,1186034185.0,610566225.0,6530434837.0,13452317294.0,97320250.0,,387978066.0,4478959567.0,11011075403.0,15096301413.0,2350698242.0,132899396.0,11440776975.0,1506218293.0,1234494078.0,18055016497.0,1166519725.0,5877224151.0,34409574569.0
Ireland,79753443.0,361208661.0,2762405012.0,635354772.0,52439532.0,146847911.0,3765489862.0,8454958866.0,165379325.0,547112659.0,,2004994580.0,1076188671.0,650050463.0,4218301011.0,419636516.0,359645687.0,1856097560.0,518855594.0,1059910772.0,619994687.0,27783130783.0,9030509020.0
Italy,646136024.0,11386273383.0,22072228770.0,2442654224.0,753553108.0,1693568936.0,42748244978.0,76047387499.0,4086014850.0,5189870936.0,4314793272.0,,4701102204.0,3773364654.0,21436452767.0,3006943020.0,770098675.0,25988832134.0,4319132487.0,16169845667.0,9753403290.0,12707115259.0,23788415899.0
Japan,41352868013.0,1759681103.0,4059569992.0,9516654221.0,6366849959.0,1181874657.0,7814214572.0,23245009772.0,212990633.0,4815593351.0,4783258731.0,8664416614.0,,28420167955.0,4194328278.0,169248669.0,17632782234.0,3050374941.0,2566798587.0,8103032147.0,502850599.0,8338757088.0,74650662375.0
Korea,17744363068.0,1568070592.0,1795369341.0,4180635226.0,4696299468.0,854200331.0,5116694577.0,19348879667.0,175482466.0,4653980478.0,700387608.0,5450316495.0,52482082154.0,,6729767098.0,112766501.0,15209886670.0,2527271580.0,1459733525.0,3679466327.0,943829784.0,4803003112.0,56894210754.0
Netherlands,2567885287.0,3419404584.0,53669821163.0,3905972024.0,1573292057.0,4881720461.0,20863122352.0,92867442847.0,782245099.0,8906975224.0,9046620838.0,13254198297.0,12716902374.0,4243100597.0,,2626532988.0,8592802116.0,11004431764.0,8366948032.0,6079733004.0,5761963138.0,30377096061.0,51225636600.0
Portugal,30115483.0,489240856.0,2678763268.0,214824020.0,42131902.0,222924718.0,6266161941.0,11941766300.0,229719405.0,742700916.0,524401196.0,4823164186.0,583526161.0,504686082.0,3213120849.0,,522190080.0,24523329103.0,799913593.0,1149224829.0,1147022385.0,2007532173.0,1722352625.0
Singapore,7326951027.0,491332122.0,1567057541.0,1146001746.0,69229882.0,210384014.0,9711897981.0,8283116341.0,160963646.0,10738688603.0,830635112.0,2195972390.0,23410984569.0,12768033796.0,6049070773.0,101455708.0,,1096948474.0,925830636.0,6213806038.0,750304223.0,6882145177.0,31519012134.0
Spain,650784366.0,3102515216.0,12461070800.0,1133213528.0,1250338460.0,1152821073.0,44323626135.0,49616072351.0,1235490632.0,4248977453.0,3040925749.0,26897312408.0,3403732937.0,2769853205.0,15575816630.0,16698725569.0,600639190.0,,3159044919.0,7880977590.0,8139178947.0,13667973206.0,15101338409.0
Sweden,296901244.0,2001784668.0,7332486760.0,340851872.0,97724904.0,7691324189.0,6030501645.0,27891651611.0,239315193.0,759566767.0,1093126714.0,5595594200.0,1431800524.0,1070505060.0,10868251084.0,665818676.0,217728088.0,2727044222.0,,1697869712.0,1432353557.0,6366787868.0,4354703100.0
Switzerland,864654502.0,8787086182.0,6512789149.0,1080173717.0,590540592.0,675545163.0,18902370654.0,64788206329.0,172455976.0,1277418183.0,7684627064.0,29193048151.0,3773786685.0,602331034.0,6599743005.0,697045014.0,2783102598.0,5637140041.0,1797468910.0,,1042012181.0,15614544981.0,17859091315.0
Turkey,329412579.0,1535285924.0,5284338620.0,1219182217.0,231476796.0,825934870.0,7072182392.0,22010815335.0,2209603276.0,4575955544.0,670056370.0,9329286425.0,3190945213.0,5297808205.0,6692813989.0,622752729.0,661436521.0,4999307776.0,1359139846.0,3361968493.0,,6413928467.0,10044692645.0
United Kingdom,3610941700.0,4848419319.0,33862455580.0,14926456082.0,620355825.0,3211434871.0,38386038366.0,88108856820.0,1370965325.0,8797200000.0,19089565799.0,27891600738.0,13900852170.0,5539086553.0,44299529345.0,4079381127.0,4669650492.0,22016845636.0,8450449123.0,28306935332.0,11279415625.0,,69100919866.0
United States,9552146146.0,12485990159.0,27650446518.0,336414001003.0,9494259296.0,4859967362.0,45309603062.0,133542041690.0,1461451477.0,54288194268.0,46393474568.0,51041709357.0,140663642062.0,73598903629.0,22344446693.0,3383145863.0,34401076800.0,15383386540.0,12249404824.0,43852848048.0,8978582835.0,73510211360.0,
