Country,Rating,Numeric Value
Albania,B+,35
Andorra,BBB ,60
Angola,CCC+,20
Argentina,SD,
Armenia,,
Aruba,BBB+,65
Australia,AAA ,100
Austria,AA+,95
Azerbaijan,BB+,50
Bahamas,BB+ ,50
Bahrain,B+,35
Bangladesh,BB-,40
Barbados,B-,25
Belarus,B,30
Belgium,AA,90
Belize,B-,25
Benin,B+,35
Bermuda,A+ ,80
Bolivia,BB- ,40
Bosnia and Herzegovina,B ,30
Botswana,BBB+,65
Brazil,BB-,40
Bulgaria,BBB ,60
Burkina Faso,B,30
Cambodia,N/A,
Cameroon,B-,25
Canada,AAA,100
Cape Verde,B,30
Cayman Islands,,
Chile,A+,80
China,A+,80
Colombia,BBB- ,55
Congo,CCC+ ,20
Costa Rica,B+ ,35
Croatia,BBB-,55
Cuba,,
Cyprus,BBB-,55
Czech Republic,AA-,85
Denmark,AAA,100
Dominican Republic,BB-,40
Ecuador,SD,
Egypt,B,30
El Salvador,B-,25
Estonia,AA- ,85
Ethiopia,B ,30
European Union,AA,90
Fiji,BB-,40
Finland,AA+,95
France,AA,90
Gabon,N/A,
Georgia,BB,45
Germany,AAA,100
Ghana,B,30
Greece,BB- ,40
Grenada,SD ,
Guatemala,BB-,40
Honduras,BB-,40
Hong Kong,AA+,95
Hungary,BBB ,60
Iceland,A,75
India,BBB-,55
Indonesia,BBB,60
Iraq,B-,25
Ireland,AA-,85
Isle of Man,N/A,
Israel,AA-,85
Italy,BBB ,60
Ivory Coast,,
Jamaica,B+,35
Japan,A+ ,80
Jordan,B+,35
Kazakhstan,BBB-,55
Kenya,B+,35
Kuwait,AA-,85
Kyrgyzstan,NR,
Laos,,
Latvia,A+,80
Lebanon,SD,
Lesotho,,
Liechtenstein,AAA,100
Lithuania,A+,80
Luxembourg,AAA,100
Macau,,
Macedonia,BB-,40
Malaysia,A-,70
Maldives,,
Mali,,
Malta,A-,70
Mauritius,,
Mexico,BBB ,60
Moldova,,
Mongolia,B,30
Montenegro,B+,35
Montserrat,BBB-,55
Morocco,BBB-,55
Mozambique,CCC+,20
Namibia,,
Netherlands,AAA,100
New Zealand,AA ,90
Nicaragua,B-,25
Niger,,
Nigeria,B-,25
Norway,AAA,100
Oman,BB- ,40
Pakistan,B-,25
Panama,BBB+,65
Papua New Guinea,B,30
Paraguay,BB,45
Peru,BBB+,65
Philippines,BBB+,65
Poland,A-,70
Portugal,BBB ,60
Puerto Rico,D ,5
Qatar,AA-,85
Republic of the Congo,B- ,25
Romania,BBB- ,55
Russia,BBB-,55
Rwanda,B+,35
San Marino,,
Saudi Arabia,A-,70
Senegal,B+,35
Serbia,BB+ ,50
Seychelles,,
Singapore,AAA,100
Slovakia,A+,80
Slovenia,AA-,85
Solomon Islands,,
South Africa,BB ,45
South Korea,AA,90
Spain,A,75
Sri Lanka,B ,30
St Vincent and the Grenadines,,
Suriname,CCC+ ,20
Swaziland,,
Sweden,AAA,100
Switzerland,AAA,100
Taiwan,AA-,85
Tajikistan,B-,25
Tanzania,,
Thailand,BBB+,65
Togo,B,30
Trinidad and Tobago,BBB-,55
Tunisia,N/A,
Turkey,B+,35
Uganda,B,30
Ukraine,B,30
United Arab Emirates,AA,90
United Kingdom,AA,90
United States,AA+,95
Uruguay,BBB,60
Uzbekistan,BB-,40
Venezuela,SD,
Vietnam,BB,45
Zambia,CCC ,20